EDI_ID,REFINITIV_ID
63420,https://permid.org/1-4295856379
,https://permid.org/1-4295856380
57943,https://permid.org/1-4295856381
110636,https://permid.org/1-4295856383
,https://permid.org/1-4295856385
,https://permid.org/1-4295856386
,https://permid.org/1-4295856387
,https://permid.org/1-4295856388
10858,https://permid.org/1-4295856390
,https://permid.org/1-4295856391
,https://permid.org/1-4295856392
,https://permid.org/1-4295856393
10702,https://permid.org/1-4295856394
63441,https://permid.org/1-4295856396
47464,https://permid.org/1-4295856397
,https://permid.org/1-4295856398
,https://permid.org/1-4295856399
9954,https://permid.org/1-4295856400
,https://permid.org/1-4295856401
10193,https://permid.org/1-4295856402
,https://permid.org/1-4295856403
,https://permid.org/1-4295856404
10922,https://permid.org/1-4295856405
47673,https://permid.org/1-4295856406
,https://permid.org/1-4295856408
63438,https://permid.org/1-4295856410
,https://permid.org/1-4295856412
47616,https://permid.org/1-4295856413
41338,https://permid.org/1-4295856414
,https://permid.org/1-4295856415
247945,https://permid.org/1-4295856416
47487,https://permid.org/1-4295856417
10875,https://permid.org/1-4295856418
,https://permid.org/1-4295856419
10891,https://permid.org/1-4295856420
114867,https://permid.org/1-4295856422
83119,https://permid.org/1-4295856423
10834,https://permid.org/1-4295856424
47665,https://permid.org/1-4295856425
58435,https://permid.org/1-4295856426
88328,https://permid.org/1-4295856427
77707,https://permid.org/1-4295856428
94901,https://permid.org/1-4295856429
,https://permid.org/1-4295856431
98287,https://permid.org/1-4295856432
10964,https://permid.org/1-4295856433
,https://permid.org/1-4295856434
,https://permid.org/1-4295856435
85185,https://permid.org/1-4295856436
99670,https://permid.org/1-4295856437
86594,https://permid.org/1-4295856438
107916,https://permid.org/1-4295856439
80670,https://permid.org/1-4295856440
,https://permid.org/1-4295856441
103491,https://permid.org/1-4295856442
111859,https://permid.org/1-4295856443
76603,https://permid.org/1-4295856445
74039,https://permid.org/1-4295856446
77561,https://permid.org/1-4295856447
82789,https://permid.org/1-4295856448
147624,https://permid.org/1-4295856449
87713,https://permid.org/1-4295856450
47678,https://permid.org/1-4295856451
47489,https://permid.org/1-4295856452
118939,https://permid.org/1-4295856453
,https://permid.org/1-4295856454
87948,https://permid.org/1-4295856455
110945,https://permid.org/1-4295856456
104601,https://permid.org/1-4295856457
54658,https://permid.org/1-4295856458
47632,https://permid.org/1-4295856459
95388,https://permid.org/1-4295856461
,https://permid.org/1-4295856462
99709,https://permid.org/1-4295856463
57316,https://permid.org/1-4295856464
,https://permid.org/1-4295856465
10989,https://permid.org/1-4295856466
10994,https://permid.org/1-4295856467
47491,https://permid.org/1-4295856468
103476,https://permid.org/1-4295856469
104419,https://permid.org/1-4295856470
,https://permid.org/1-4295856471
47490,https://permid.org/1-4295856472
241816,https://permid.org/1-4295856473
10057,https://permid.org/1-4295856474
72506,https://permid.org/1-4295856475
71429,https://permid.org/1-4295856476
47492,https://permid.org/1-4295856477
77363,https://permid.org/1-4295856478
81751,https://permid.org/1-4295856479
87949,https://permid.org/1-4295856480
68794,https://permid.org/1-4295856481
86527,https://permid.org/1-4295856482
109602,https://permid.org/1-4295856483
82349,https://permid.org/1-4295856484
97525,https://permid.org/1-4295856485
70517,https://permid.org/1-4295856486
100208,https://permid.org/1-4295856487
,https://permid.org/1-4295856488
,https://permid.org/1-4295856489
83018,https://permid.org/1-4295856490
47682,https://permid.org/1-4295856491
11028,https://permid.org/1-4295856492
102763,https://permid.org/1-4295856493
90595,https://permid.org/1-4295856494
91126,https://permid.org/1-4295856495
119067,https://permid.org/1-4295856496
63165,https://permid.org/1-4295856497
109322,https://permid.org/1-4295856498
47625,https://permid.org/1-4295856499
,https://permid.org/1-4295856500
,https://permid.org/1-4295856501
57575,https://permid.org/1-4295856502
41339,https://permid.org/1-4295856503
47666,https://permid.org/1-4295856504
,https://permid.org/1-4295856505
10012,https://permid.org/1-4295856506
,https://permid.org/1-4295856507
47617,https://permid.org/1-4295856508
,https://permid.org/1-4295856510
,https://permid.org/1-4295856511
,https://permid.org/1-4295856512
105722,https://permid.org/1-4295856513
,https://permid.org/1-4295856514
47265,https://permid.org/1-4295856515
10163,https://permid.org/1-4295856516
47494,https://permid.org/1-4295856517
47602,https://permid.org/1-4295856518
47566,https://permid.org/1-4295856519
63447,https://permid.org/1-4295856520
94787,https://permid.org/1-4295856521
63456,https://permid.org/1-4295856522
10226,https://permid.org/1-4295856523
47564,https://permid.org/1-4295856524
114116,https://permid.org/1-4295856525
55343,https://permid.org/1-4295856526
81416,https://permid.org/1-4295856527
,https://permid.org/1-4295856529
72815,https://permid.org/1-4295856530
80801,https://permid.org/1-4295856531
,https://permid.org/1-4295856532
,https://permid.org/1-4295856533
96093,https://permid.org/1-4295856534
95150,https://permid.org/1-4295856535
,https://permid.org/1-4295856536
92221,https://permid.org/1-4295856537
10381,https://permid.org/1-4295856538
98361,https://permid.org/1-4295856539
84310,https://permid.org/1-4295856540
77061,https://permid.org/1-4295856541
103492,https://permid.org/1-4295856542
95191,https://permid.org/1-4295856543
109146,https://permid.org/1-4295856544
47841,https://permid.org/1-4295856545
9952,https://permid.org/1-4295856546
110411,https://permid.org/1-4295856547
54962,https://permid.org/1-4295856548
90726,https://permid.org/1-4295856549
109404,https://permid.org/1-4295856551
10329,https://permid.org/1-4295856552
10347,https://permid.org/1-4295856553
10282,https://permid.org/1-4295856554
89697,https://permid.org/1-4295856555
63185,https://permid.org/1-4295856556
82951,https://permid.org/1-4295856557
10388,https://permid.org/1-4295856558
47663,https://permid.org/1-4295856559
104956,https://permid.org/1-4295856560
80443,https://permid.org/1-4295856561
,https://permid.org/1-4295856562
63243,https://permid.org/1-4295856563
,https://permid.org/1-4295856565
75002,https://permid.org/1-4295856566
,https://permid.org/1-4295856567
10364,https://permid.org/1-4295856568
10333,https://permid.org/1-4295856569
,https://permid.org/1-4295856570
,https://permid.org/1-4295856571
105703,https://permid.org/1-4295856572
10427,https://permid.org/1-4295856573
,https://permid.org/1-4295856574
47694,https://permid.org/1-4295856575
97629,https://permid.org/1-4295856576
10959,https://permid.org/1-4295856577
10035,https://permid.org/1-4295856578
10375,https://permid.org/1-4295856579
63442,https://permid.org/1-4295856581
47149,https://permid.org/1-4295856582
10122,https://permid.org/1-4295856583
10502,https://permid.org/1-4295856584
10776,https://permid.org/1-4295856585
58389,https://permid.org/1-4295856586
47500,https://permid.org/1-4295856589
10608,https://permid.org/1-4295856590
10567,https://permid.org/1-4295856593
,https://permid.org/1-4295856594
45230,https://permid.org/1-4295856595
10070,https://permid.org/1-4295856596
63487,https://permid.org/1-4295856597
63498,https://permid.org/1-4295856599
10150,https://permid.org/1-4295856601
,https://permid.org/1-4295856603
62511,https://permid.org/1-4295856604
41335,https://permid.org/1-4295856605
,https://permid.org/1-4295856607
10631,https://permid.org/1-4295856608
10504,https://permid.org/1-4295856614
,https://permid.org/1-4295856618
11081,https://permid.org/1-4295856619
10521,https://permid.org/1-4295856620
10327,https://permid.org/1-4295856621
,https://permid.org/1-4295856622
10046,https://permid.org/1-4295856624
10736,https://permid.org/1-4295856627
94788,https://permid.org/1-4295856629
